d w z t
167 43 0 0
167 18 0 0
104 43 0 0
104 29 1 2
104 8 0 1
104 3 0 1
104 15 0 1
104 8 0 1
190 9 0 0
190 31 0 1
190 43 0 1
190 31 0 1
133 3 0 0
133 43 0 0
133 9 0 0
133 2 0 0
133 24 0 0
133 12 0 0
133 42 0 0
133 10 0 0
158 4 1 0
158 20 1 0
158 43 0 1
158 20 1 0
158 39 0 1
158 9 0 1
158 7 1 0
158 22 1 0
158 34 1 0
158 26 1 0
193 23 2 0
193 43 4 1
13 9 0 0
13 43 0 0
13 2 0 0
13 33 2 1
13 7 0 0
13 2 0 0
159 22 1 0
159 22 1 0
159 34 1 0
159 43 1 0
159 1 1 1
137 9 0 0
137 11 0 1
137 43 0 1
12 37 1 0
12 7 1 1
12 15 1 1
12 22 1 1
12 7 1 1
12 43 4 2
12 2 4 2
57 19 4 0
57 23 4 0
57 23 4 0
57 23 4 0
57 21 4 0
57 2 4 0
57 43 4 1
17 15 1 0
17 43 1 0
42 19 2 1
42 6 2 1
42 43 2 1
42 8 0 0
42 28 2 1
42 27 0 2
42 6 2 1
161 28 2 0
161 19 2 0
161 43 0 1
161 19 2 0
161 19 2 0
161 27 2 0
2 43 0 0
118 12 0 2
118 23 4 0
118 34 1 1
118 42 0 2
118 43 0 2
118 9 0 2
11 36 1 0
11 32 1 0
11 22 1 0
11 32 1 0
11 43 1 0
108 43 2 0
152 43 4 0
152 30 4 0
75 43 0 0
75 31 0 1
142 2 4 0
142 3 4 0
142 23 4 0
142 30 4 0
142 43 4 0
142 30 4 0
142 23 4 0
82 43 0 0
82 9 0 0
82 5 0 1
121 19 2 1
121 9 0 0
121 43 2 1
121 8 0 2
97 17 0 1
97 43 4 0
97 27 0 1
97 17 0 1
97 24 4 0
178 43 0 0
178 31 0 1
187 29 1 2
187 37 1 0
187 43 2 1
187 31 0 3
187 3 0 3
0 1 1 0
0 40 1 1
0 20 1 0
0 43 1 1
171 16 2 0
171 27 0 3
171 43 0 2
171 1 0 1
171 8 0 1
171 41 0 1
16 4 2 1
16 4 0 0
16 3 0 0
16 42 0 0
16 9 0 0
16 41 0 0
16 27 0 0
16 43 0 0
16 12 0 0
3 16 2 0
3 43 2 1
24 43 0 0
24 9 0 1
48 43 0 0
185 43 0 0
185 5 0 0
185 9 0 0
44 43 0 0
96 17 3 0
96 43 3 0
96 24 3 0
96 17 3 0
96 27 2 1
28 8 0 0
28 8 0 0
28 43 0 0
28 25 0 0
28 11 0 0
119 4 0 0
119 27 0 0
119 12 0 0
119 41 0 0
119 3 0 0
119 4 0 0
119 43 0 1
119 42 0 1
119 9 0 0
91 43 0 0
91 25 0 0
91 41 0 0
80 18 0 0
80 43 0 1
99 28 2 0
99 43 2 0
189 43 0 0
189 14 4 1
144 6 2 1
144 6 2 0
144 43 2 1
144 16 2 0
144 14 2 0
144 16 2 1
144 33 2 0
105 43 0 0
88 6 1 0
88 43 4 1
197 43 0 0
197 18 0 1
100 43 2 0
100 24 2 0
100 28 2 0
71 40 3 0
71 40 3 0
71 10 3 0
71 31 3 0
71 40 3 0
71 40 3 0
71 43 3 0
125 42 0 1
125 12 0 0
125 1 0 0
125 43 0 0
55 22 1 0
55 39 1 0
55 43 0 1
55 34 1 0
55 26 1 0
55 9 1 0
55 20 1 0
55 20 1 0
55 4 1 0
55 7 1 0
127 9 0 0
127 43 0 0
132 18 0 0
132 9 0 0
132 8 0 1
132 43 0 0
132 11 0 0
21 9 0 1
21 3 0 0
21 19 0 1
21 43 0 2
115 37 1 0
115 15 1 0
115 7 1 0
115 2 0 1
115 22 1 0
115 43 0 2
115 7 1 0
181 43 4 0
56 43 1 1
56 22 1 1
56 1 1 1
56 22 1 0
56 34 1 0
175 43 0 1
175 8 0 1
175 18 0 0
175 8 0 1
175 8 0 1
175 25 0 1
175 8 0 1
73 6 2 0
73 27 2 0
73 43 2 0
165 6 2 0
165 43 2 0
165 24 0 1
165 6 2 0
165 6 2 0
165 35 2 0
165 35 2 0
165 35 2 0
139 26 4 0
139 1 4 1
139 30 4 0
139 43 4 0
139 39 4 0
139 29 4 2
134 10 4 0
134 3 4 0
134 21 4 0
134 38 1 1
134 43 1 1
134 2 4 0
134 30 4 0
177 43 0 0
177 8 0 1
168 43 2 0
168 25 0 1
168 40 2 0
164 9 0 1
