time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00000 0003 00425 -3827.11974 0.10000 1.00000 0 0 0
    0.00 00001 0003 00406 -3840.90452 0.10000 1.00000 0 0 0
    0.00 00002 0003 00435 -3866.53423 0.10000 1.00000 0 0 0
    0.00 00003 0004 00424 -3847.83911 0.10000 1.00000 0 0 0
    0.00 00004 0004 00429 -3816.89103 0.10000 1.00000 0 0 0
    0.00 00005 0004 00414 -3782.23492 0.10000 1.00000 0 0 0
    0.00 00006 0003 00412 -3794.47158 0.10000 1.00000 0 0 0
    0.00 00007 0003 00399 -3757.41725 0.10000 1.00000 0 0 0
    0.00 00008 0003 00393 -3757.84763 0.10000 1.00000 0 0 0
    0.00 00009 0003 00390 -3769.26813 0.10000 1.00000 0 0 0
    0.00 00010 0003 00384 -3688.78053 0.10000 1.00000 0 0 0
    0.00 00011 0003 00389 -3656.36389 0.10000 1.00000 0 0 0
    0.00 00012 0003 00383 -3653.54120 0.10000 1.00000 0 0 0
    0.00 00013 0003 00380 -3673.63128 0.10000 1.00000 0 0 0
    0.00 00014 0003 00390 -3677.27262 0.10000 1.00000 0 0 0
    0.00 00015 0003 00405 -3725.95574 0.10000 1.00000 0 0 0
    0.00 00016 0003 00421 -3789.04277 0.10000 1.00000 0 0 0
    0.00 00017 0003 00405 -3765.98269 0.10000 1.00000 0 0 0
    0.00 00018 0004 00388 -3720.60645 0.10000 1.00000 0 0 0
    0.00 00019 0003 00394 -3735.63873 0.10000 1.00000 0 0 0
    0.00 00020 0003 00401 -3718.09067 0.10000 1.00000 0 0 0
    0.00 00021 0003 00388 -3718.30100 0.10000 1.00000 0 0 0
    0.00 00022 0003 00393 -3689.22951 0.10000 1.00000 0 0 0
    0.00 00023 0003 00398 -3740.76546 0.10000 1.00000 0 0 0
    0.00 00024 0003 00390 -3696.22235 0.10000 1.00000 0 0 0
    0.00 00025 0003 00388 -3707.70476 0.10000 1.00000 0 0 0
    0.00 00026 0003 00402 -3709.82827 0.10000 1.00000 0 0 0
    0.00 00027 0004 00387 -3692.76119 0.10000 1.00000 0 0 0
    0.00 00028 0003 00377 -3671.46768 0.10000 1.00000 0 0 0
    0.00 00029 0003 00404 -3745.14462 0.10000 1.00000 0 0 0
    0.00 00030 0003 00386 -3703.35999 0.10000 1.00000 0 0 0
    0.00 00031 0004 00412 -3750.15560 0.10000 1.00000 0 0 0
    0.00 00032 0003 00394 -3716.06479 0.10000 1.00000 0 0 0
    0.00 00033 0003 00396 -3748.35289 0.10000 1.00000 0 0 0
    0.00 00034 0003 00406 -3763.88001 0.10000 1.00000 0 0 0
    0.00 00035 0003 00407 -3730.37105 0.10000 1.00000 0 0 0
    0.00 00036 0003 00380 -3702.26090 0.10000 1.00000 0 0 0
    0.00 00037 0003 00387 -3724.03094 0.10000 1.00000 0 0 0
    0.00 00038 0003 00393 -3760.98391 0.10000 1.00000 0 0 0
    0.00 00039 0003 00398 -3761.73856 0.10000 1.00000 0 0 0
    0.00 00040 0004 00391 -3727.55093 0.10000 1.00000 0 0 0
    0.00 00041 0003 00397 -3724.63090 0.10000 1.00000 0 0 0
    0.00 00042 0004 00417 -3795.69880 0.10000 1.00000 0 0 0
    0.00 00043 0005 00413 -3808.78699 0.10000 1.00000 0 0 0
    0.00 00044 0005 00393 -3757.47428 0.10000 1.00000 0 0 0
    0.00 00045 0005 00399 -3742.24067 0.10000 1.00000 0 0 0
    0.00 00046 0004 00393 -3742.09570 0.10000 1.00000 0 0 0
    0.00 00047 0004 00387 -3704.63742 0.10000 1.00000 0 0 0
    0.00 00048 0004 00390 -3710.42773 0.10000 1.00000 0 0 0
    0.00 00049 0004 00379 -3676.35515 0.10000 1.00000 0 0 0
    0.00 00050 0004 00407 -3795.48332 0.10000 1.00000 0 0 0
    0.00 00051 0004 00385 -3715.79864 0.10000 1.00000 0 0 0
    0.00 00052 0004 00397 -3739.57019 0.10000 1.00000 0 0 0
    0.00 00053 0004 00374 -3712.66014 0.10000 1.00000 0 0 0
    0.00 00054 0004 00378 -3700.78346 0.10000 1.00000 0 0 0
    0.00 00055 0004 00386 -3712.54649 0.10000 1.00000 0 0 0
    0.00 00056 0004 00371 -3676.42682 0.10000 1.00000 0 0 0
    0.00 00057 0004 00381 -3690.90438 0.10000 1.00000 0 0 0
    0.00 00058 0004 00379 -3703.34677 0.10000 1.00000 0 0 0
    0.00 00059 0004 00387 -3693.69988 0.10000 1.00000 0 0 0
    0.00 00060 0004 00400 -3749.32664 0.10000 1.00000 0 0 0
    0.00 00061 0004 00399 -3782.93534 0.10000 1.00000 0 0 0
    0.00 00062 0004 00384 -3731.54423 0.10000 1.00000 0 0 0
    0.00 00063 0004 00408 -3742.06717 0.10000 1.00000 0 0 0
    0.00 00064 0004 00385 -3686.49649 0.10000 1.00000 0 0 0
